X,Y
77.408287,15.420556
77.426909,15.420556
77.445531,15.420556
77.464153,15.420556
77.482775,15.420556
77.5,15.420556
77.259311,15.439167
77.277933,15.439167
77.296555,15.439167
77.315177,15.439167
77.333799,15.439167
77.352421,15.439167
77.371043,15.439167
77.389665,15.439167
77.408287,15.439167
77.426909,15.439167
77.445531,15.439167
77.464153,15.439167
77.482775,15.439167
77.5,15.439167
77.259311,15.457222
77.277933,15.457222
77.296555,15.457222
77.315177,15.457222
77.333799,15.457222
77.352421,15.457222
77.371043,15.457222
77.259311,15.226449
77.277933,15.226449
77.296555,15.226449
77.315177,15.226449
77.333799,15.226449
77.352421,15.226449
77.371043,15.226449
77.389665,15.226449
77.408287,15.226449
77.426909,15.226449
77.445531,15.226449
77.464153,15.226449
77.482775,15.226449
77.5,15.226449
77.259311,15.244565
77.277933,15.244565
77.296555,15.244565
77.315177,15.244565
77.333799,15.244565
77.352421,15.244565
77.371043,15.244565
77.389665,15.244565
77.408287,15.244565
77.426909,15.244565
77.445531,15.244565
77.464153,15.244565
77.482775,15.244565
77.5,15.244565
77.5,15.009058
77.259311,15.027174
77.277933,15.027174
77.296555,15.027174
77.315177,15.027174
77.333799,15.027174
77.352421,15.027174
77.371043,15.027174
77.389665,15.027174
77.408287,15.027174
77.426909,15.027174
77.445531,15.027174
77.464153,15.027174
77.482775,15.027174
77.5,15.027174
77.259311,15.04529
77.277933,15.04529
77.296555,15.04529
77.315177,15.04529
77.333799,15.04529
77.352421,15.04529
77.371043,15.04529
77.389665,15.04529
77.408287,15.04529
77.426909,15.04529
77.445531,15.04529
77.464153,15.04529
77.482775,15.04529
77.5,15.04529
77.259311,15.063406
77.408287,15.099638
77.426909,15.099638
77.445531,15.099638
77.464153,15.099638
77.482775,15.099638
77.5,15.099638
77.259311,15.117754
77.277933,15.117754
77.296555,15.117754
77.315177,15.117754
77.333799,15.117754
77.352421,15.117754
77.371043,15.117754
77.389665,15.117754
77.408287,15.117754
77.426909,15.117754
77.445531,15.117754
77.464153,15.117754
77.482775,15.117754
77.5,15.117754
77.259311,15.13587
77.277933,15.13587
77.296555,15.13587
77.315177,15.13587
77.333799,15.13587
77.352421,15.13587
77.371043,15.13587
77.389665,15.13587
77.408287,15.13587
77.426909,15.13587
77.445531,15.13587
77.464153,15.13587
77.482775,15.13587
77.5,15.13587
77.259311,15.153985
77.277933,15.153985
77.296555,15.153985
77.315177,15.153985
77.333799,15.153985
77.352421,15.153985
77.371043,15.153985
77.389665,15.153985
77.408287,15.153985
77.426909,15.153985
77.445531,15.153985
77.464153,15.153985
77.482775,15.153985
77.5,15.153985
77.259311,15.172101
77.277933,15.172101
77.296555,15.172101
77.315177,15.172101
77.333799,15.172101
77.352421,15.172101
77.371043,15.172101
77.389665,15.172101
77.408287,15.172101
77.426909,15.172101
77.445531,15.172101
77.464153,15.172101
77.482775,15.172101
77.5,15.172101
77.259311,15.190217
77.277933,15.190217
77.296555,15.190217
77.315177,15.190217
77.333799,15.190217
77.352421,15.190217
77.371043,15.190217
77.389665,15.190217
77.408287,15.190217
77.426909,15.190217
77.445531,15.190217
77.464153,15.190217
77.482775,15.190217
77.5,15.190217
77.259311,15.208333
77.277933,15.208333
77.296555,15.208333
77.315177,15.208333
77.333799,15.208333
77.352421,15.208333
77.371043,15.208333
77.389665,15.208333
77.408287,15.208333
77.426909,15.208333
77.445531,15.208333
77.464153,15.208333
77.482775,15.208333
77.5,15.208333
77.509259,15.509058
77.527778,15.509058
77.546296,15.509058
77.564815,15.509058
77.583333,15.509058
77.601852,15.509058
77.62037,15.509058
77.638889,15.509058
77.657407,15.509058
77.675926,15.509058
77.694444,15.509058
77.712963,15.509058
77.731481,15.509058
77.749999,15.509058
77.509259,15.527174
77.527778,15.527174
77.657407,15.63587
77.675926,15.63587
77.694444,15.63587
77.712963,15.63587
77.731481,15.63587
77.749999,15.63587
77.509259,15.653985
77.527778,15.653985
77.546296,15.653985
77.564815,15.653985
77.583333,15.653985
77.601852,15.653985
77.62037,15.653985
77.638889,15.653985
77.657407,15.653985
77.675926,15.653985
77.694444,15.653985
77.712963,15.653985
77.731481,15.653985
77.749999,15.653985
77.509259,15.672101
77.527778,15.672101
77.546296,15.672101
77.564815,15.672101
77.583333,15.672101
77.62037,15.672101
77.638889,15.672101
77.657407,15.672101
77.675926,15.672101
77.694444,15.672101
77.712963,15.672101
77.731481,15.672101
77.749999,15.672101
77.509259,15.690217
77.527778,15.690217
77.546296,15.690217
77.564815,15.690217
77.583333,15.690217
77.601852,15.690217
77.62037,15.690217
77.638889,15.690217
77.657407,15.690217
77.675926,15.690217
77.694444,15.690217
77.749999,15.726449
77.509259,15.744565
77.527778,15.744565
77.546296,15.744565
77.712963,15.690217
77.731481,15.690217
77.749999,15.690217
77.509259,15.708333
